Elevation,Azimuth,F1_score
90,72,0
17,216,0.45
17,36,0.05
35,288,0
0,180,0.63
90,108,0.11
35,216,0.54
71,216,0.1
53,360,0.07
71,0,0
35,36,0
0,144,0.62
53,0,0.07
35,144,0.63
53,324,0
17,72,0.1
53,108,0.11
53,72,0
90,360,0
0,72,0
90,288,0
71,180,0.53
71,360,0
71,324,0
0,252,0
17,108,0
17,0,0.08
17,360,0.08
35,72,0
17,180,0.49
71,36,0
35,108,0
90,324,0
53,288,0
71,144,0.5
17,324,0
90,36,0
53,216,0.47
90,144,0.11
35,324,0
90,0,0
71,252,0
35,180,0.47
53,180,0.52
0,36,0
71,288,0
35,0,0.07
0,0,0
0,216,0.38
35,252,0.08
71,108,0
0,324,0
53,36,0.07
90,252,0
0,108,0
0,288,0
17,144,0.67
17,252,0.1
53,252,0.1
90,180,0
0,360,0
53,108,0
0,108,0
90,360,0
90,180,0
53,0,0
90,144,0
90,216,0
17,180,0.33
35,252,0.33
35,108,0
17,108,0
35,0,0
53,144,0
35,36,0
71,252,0.33
35,72,0
0,180,0.57
17,216,0.57
53,72,0
90,72,0
0,324,0.33
0,72,0
71,0,0
53,252,0.57
35,216,0.57
0,216,0.57
71,144,0
90,0,0
17,144,0.33
17,36,0.25
90,324,0.33
90,252,0
71,72,0
17,252,0.33
0,36,0
53,216,0.57
17,324,0
71,108,0
35,360,0
35,180,0.33
0,252,0
90,288,0.33
53,360,0
90,36,0
35,288,0
71,180,0
53,36,0
71,288,0.33
0,144,0
35,324,0
35,144,0.33
0,360,0.33
17,0,0
71,360,0
71,36,0
0,288,0
17,288,0
53,180,0.33
17,72,0
71,324,0
53,288,0
17,360,0
0,0,0.33
53,324,0
71,216,0.33
90,108,0
0,180,0.57
35,72,0
90,324,0.13
35,288,0
53,216,0.57
71,0,0
0,0,0
17,72,0
71,180,0.67
53,72,0
17,0,0.2
53,108,0
35,108,0
53,36,0
90,108,0.13
35,252,0.12
71,36,0
35,216,0.5
71,360,0
35,144,0.44
17,36,0
0,72,0
90,360,0
0,360,0
0,324,0.13
0,252,0.22
53,324,0
53,252,0.24
35,36,0
17,252,0.12
0,288,0.12
90,36,0
17,144,0.42
71,144,0.25
17,108,0
17,288,0
35,0,0.11
90,72,0.13
0,36,0
53,144,0.44
35,360,0.11
17,216,0.44
0,144,0.13
71,252,0.13
53,180,0.75
71,324,0
17,180,0.6
53,288,0
90,180,0
90,252,0
53,0,0.12
0,108,0
71,72,0
0,216,0.37
35,180,0.6
53,360,0.12
90,216,0
90,0,0
90,144,0.13
17,360,0.2
71,288,0
17,324,0
71,108,0
35,324,0
71,216,0.64
90,288,0
53,72,0
35,72,0
71,72,0
53,252,0.25
35,288,0
71,216,0.67
35,36,0
0,288,0
71,252,0.3
35,252,0.1
90,0,0
0,324,0.11
71,180,0.82
0,0,0.11
17,36,0
0,72,0.11
90,108,0
35,216,0.59
53,216,0.62
71,360,0
0,252,0
35,180,0.7
90,216,0
71,144,0.5
90,324,0
0,108,0.11
17,324,0
90,72,0
90,144,0
35,360,0.26
17,72,0.07
53,0,0.26
17,108,0
17,180,0.7
90,252,0
90,180,0
17,252,0.11
35,0,0.26
0,36,0.06
53,324,0
0,180,0.2
17,360,0.16
71,288,0
0,360,0.11
71,324,0
90,360,0
53,360,0.26
71,0,0
53,180,0.68
90,36,0
35,108,0
53,288,0
35,144,0.54
71,108,0
17,0,0.16
53,108,0
35,324,0
17,216,0.44
0,216,0.27
53,36,0
17,288,0
17,144,0.62
0,144,0.21
53,144,0.43
71,36,0
90,288,0
